Jogo ID;Home;Gols Home;Gols  Away;Away;odd Home;odd Draw;odd Away;Home Score HT;Away Score HT;Corner Home;Corner Away;Total Corner Match;;;;;;;;;;;;;;;;;;;;;;;;
1;Cruzeiro;2;1;Mirasol;1.61;3.70;5.75;2;1;2;6;8;;;;;;;;;;;;;;;;;;;;;;;;
2;Fortaleza;2;0;Fluminense;2.40;3.10;3.20;2;0;4;5;9;;;;;;;;;;;;;;;;;;;;;;;;
3;Ceara;2;1;A. Mineiro;2.15;3.25;3.40;2;0;1;11;12;;;;;;;;;;;;;;;;;;;;;;;;
4;Juventude;2;0;Vitoria;2.05;3.20;4.00;1;0;3;5;8;;;;;;;;;;;;;;;;;;;;;;;;
5;São Paulo;0;0;Sport;1.55;4.20;5.75;0;0;6;2;8;;;;;;;;;;;;;;;;;;;;;;;;
6;Flamengo;1;1;Internacional;1.70;3.70;5.00;0;1;4;2;6;;;;;;;;;;;;;;;;;;;;;;;;
7;Vasco;2;1;Santos;2.50;3.20;2.87;0;1;2;3;5;;;;;;;;;;;;;;;;;;;;;;;;
8;Palmeiras;0;0;Botafogo;1.70;3.50;5.50;0;0;2;2;4;;;;;;;;;;;;;;;;;;;;;;;;
9;Bahia;1;1;Corinthians;2.00;3.50;3.60;1;0;3;5;8;;;;;;;;;;;;;;;;;;;;;;;;
10;Bragantino;2;2;Ceara;2.10;3.20;3.60;0;2;9;2;11;;;;;;;;;;;;;;;;;;;;;;;;
11;A. Mineiro;0;0;São Paulo;1.95;3.30;4.20;0;0;11;4;15;;;;;;;;;;;;;;;;;;;;;;;;
12;Botafogo;2;0;Juventude;1.50;4.33;6.25;1;0;3;3;6;;;;;;;;;;;;;;;;;;;;;;;;
13;Ceara;2;0;Gremio;2.45;3.20;3.00;1;0;3;10;13;;;;;;;;;;;;;;;;;;;;;;;;
14;Santos;2;2;Bahia;2.05;3.20;3.90;0;1;9;3;12;;;;;;;;;;;;;;;;;;;;;;;;
15;Corinthians;3;0;Vasco;1.65;3.90;5.25;2;0;1;4;5;;;;;;;;;;;;;;;;;;;;;;;;
16;Fluminense;2;1;Bragantino;1.80;3.50;4.75;1;0;6;6;12;;;;;;;;;;;;;;;;;;;;;;;;
17;Internacional;3;0;Cruzeiro;1.75;3.40;5.25;2;0;9;2;11;;;;;;;;;;;;;;;;;;;;;;;;
18;Mirasol;1;1;Fortaleza;2.80;3.20;2.62;0;1;8;1;9;;;;;;;;;;;;;;;;;;;;;;;;
19;Sport;1;2;Palmeiras;4.50;3.60;1.80;1;1;6;3;9;;;;;;;;;;;;;;;;;;;;;;;;
