Jogo ID;Home;Gols Home;Gols  Away;Away;odd Home;odd Draw;odd Away;Home Score HT;Away Score HT;Corner Home;Corner Away;Total Corner Match;Ano
1;Cruzeiro;2;1;Mirasol;1.61;3.70;5.75;2;1;2;6;8;2025
1;Criciuma;1;1;Juventude;2.25;3.15;3.30;1;0;0;4;4;2024
2;Internacional;2;1;Bahia;1.86;3.50;4.24;0;0;6;3;9;2024
2;Fortaleza;2;0;Fluminense;2.40;3.10;3.20;2;0;4;5;9;2025
3;Fluminense;2;2;Bragantino;2.00;3.30;3.84;1;0;13;6;19;2024
3;Gremio;2;1;A. Mineiro;2.15;3.25;3.40;2;0;1;11;12;2025
4;São Paulo;1;2;Fortaleza;1.96;3.25;4.00;0;0;11;4;15;2024
4;Juventude;2;0;Vitoria;2.05;3.20;4.00;1;0;3;5;8;2025
5;São Paulo;0;0;Sport;1.55;4.20;5.75;0;0;6;2;8;2025
5;A. Goianiense;1;2;Flamengo;4.55;3.65;1.75;0;1;4;4;8;2024
6;A. Paranaense;4;0;Cuiaba;1.55;3.75;6.40;3;0;7;0;7;2024
6;Flamengo;1;1;Internacional;1.70;3.70;5.00;0;1;4;2;6;2025
7;Vasco;2;1;Santos;2.50;3.20;2.87;0;1;2;3;5;2025
7;Corinthians;0;0;A. Mineiro;2.60;2.99;2.92;0;0;3;3;6;2024
8;Palmeiras;0;0;Botafogo;1.70;3.50;5.50;0;0;2;2;4;2025
8;Vasco;2;1;Gremio;2.28;3.25;3.25;2;0;3;5;8;2024
9;Bahia;1;1;Corinthians;2.00;3.50;3.60;1;0;3;5;8;2025
9;Cruzeiro;3;2;Botafogo;2.25;3.10;3.30;1;1;6;3;9;2024
10;Bragantino;2;2;Ceara;2.10;3.20;3.60;0;2;9;2;11;2025
10;Vitoria;0;1;Palmeiras;4.33;3.68;1.80;0;1;3;9;12;2024
11;A. Mineiro;0;0;São Paulo;1.95;3.30;4.20;0;0;11;4;15;2025
11;Bahia;2;1;Fluminense;2.40;3.20;3.10;1;1;4;3;7;2024
12;Botafogo;2;0;Juventude;1.50;4.33;6.25;1;0;3;3;6;2025
12;Bragantino;2;1;Vasco;1.83;3.50;4.50;1;0;4;6;10;2024
13;Gremio;2;0;A. Paranaense;2.30;3.30;3.20;1;0;9;2;11;2024
13;Ceara;2;0;Gremio;2.45;3.20;3.00;1;0;3;10;13;2025
14;A. Mineiro;1;1;Criciuma;1.40;4.75;8.50;1;0;9;2;11;2024
14;Santos;2;2;Bahia;2.05;3.20;3.90;0;1;9;3;12;2025
15;Corinthians;3;0;Vasco;1.65;3.90;5.25;2;0;1;4;5;2025
15;Fortaleza;1;1;Cruzeiro;1.90;3.30;4.50;1;0;7;5;12;2024
16;Fluminense;2;1;Bragantino;1.80;3.50;4.75;1;0;6;6;12;2025
16;Juventude;2;0;Corinthians;3.00;3.20;2.50;2;0;6;7;13;2024
17;Palmeiras;0;1;Internacional;1.61;3.75;6.00;0;1;6;2;8;2024
17;Internacional;3;0;Cruzeiro;1.75;3.40;5.25;2;0;9;2;11;2025
18;Flamengo;2;1;São Paulo;1.60;3.75;6.50;1;0;9;1;10;2024
18;Mirasol;1;1;Fortaleza;2.80;3.20;2.62;0;1;8;1;9;2025
19;Botafogo;1;0;A. Goianiense;1.70;3.50;5.25;1;0;8;8;16;2024
19;Sport;1;2;Palmeiras;4.50;3.60;1.80;1;1;6;3;9;2025
20;Cuiaba;0;0;Vitoria;2.10;3.20;3.80;0;0;4;3;7;2024
20;Vitoria;1;2;Flamengo;4.50;3.40;1.83;0;0;2;6;8;2025
21;A. Mineiro;2;2;Vitoria;1.57;3.60;6.50;0;0;16;3;19;2025
21;Criciuma;1;1;Fortaleza;2.50;3.40;2.85;1;0;4;5;9;2024
22;Bahia;1;1;Mirasol;1.57;3.60;6.25;1;1;10;2;12;2025
22;Bragantino;1;0;Corinthians;2.20;3.29;3.30;1;0;3;4;7;2024
23;Fluminense;2;1;Vasco;1.85;3.50;4.24;1;0;2;7;9;2024
23;Fluminense;1;0;Santos;2.10;3.10;3.80;0;0;3;3;6;2025
24;Gremio;1;0;Cuiaba;1.72;3.54;5.50;1;0;3;4;7;2024
24;Bragantino;1;0;Botafogo;2.70;3.20;2.62;1;0;3;8;11;2025
25;A. Mineiro;3;0;Cruzeiro;1.95;3.34;4.00;3;0;4;4;8;2024
25;Fortaleza;0;0;Internacional;2.80;3.20;2.55;0;0;5;5;10;2025
26;A. Paranaense;1;0;Internacional;2.00;3.35;3.90;0;0;5;3;8;2024
26;Gremio;0;2;Flamengo;3.30;3.10;2.25;0;1;3;4;7;2025
27;Palmeiras;0;0;Flamengo;2.25;3.14;3.30;0;0;6;5;11;2024
